EMPRESA;ACAO;SETOR
AMBEV S/A;ABEV3;Consumo não-cíclico
AZUL;AZUL4;Bens Industriais
B2W DIGITAL;BTOW9;Comércio
B3;B3SA3;Financeiro
BB SEGURIDADE;BBSE3;Seguros
BR MALLS PAR;VRML3;Exploração de imóveis
BRADESCO;BBDC4;Financeiro
BRADESCO;BBDC3;Financeiro
BRADESPAR;BRAP4;Mineração
BANCO DO BRASIL;BBAS3;Financeiro
BRASKEM;BRKM5;Químicos
BRF S/A;BRFS3;Alimentos processados
CCR S/A;CCRO3;Bens industriais
CEMIG;CMIG4;Energia elétrica
CIELO;CIEL3;Financeiro
COSAN;CSAN3;Petróleo, Gás e Biocombustíveis
CVC BRASIL;CVCB3;Viagens e lazer
CYRELA REALT;CYRE3;Construção civil
ECORODOVIAS;ECOR3;Bens industriais
ELETROBRAS;ELET3;Energia elétrica
ELETROBRAS;ELET6;Energia Elétrica
EMBRAER;EMBR3;Bens industriais
ENERGIAS BR;ENBR3;Energia elétrica
ENGIE BRASIL;ENGIE3;Energia elétrica
EQUATORIAL;EQTL3;Energia elétrica
ESTACIO PART;YDUQ3;Educacionais
FLEURY;FLRY3;Saúde
GERDAU;GGBR4;Siderurgia e Metalurgia
GERDAU MET;GOAU4;Siderurgia e Metalurgia
GOL;GOLL4;Bens industriais
HYPERA;HYPE3;Saúde
IGUATEMI;IGTA3;Exploração de imóveis
IRB BRASIL RE;IRBR3;Seguros
ITAUSA;ITSA4;Financeiro
ITAU UNIBANCO;ITUB4;Financeiro
JBS;JBSS3;Alimentos processados
KLABIN S/A;KLBN11;Madeira e papel
KROTON;KROT3;Educacionais
LOCALIZA;KROT3;Locação de veículos
LOJAS AMERICANAS;LAME4;Comércio
LOJAS RENNER;LREN3;Comércio
MAGAZINE LUIZA;MGLU3;Comércio
MARFRIG;MRFG3;Alimentos processados
MRV;MRVE3;Construção civil
MULTIPLAN;MULT3;Exploração de imóveis
NATURA;NATU3;Consumo não-cíclico
PÃO DE AÇÚCAR - CBD;PCAR4;Consumo não-cíclico
PETROBRAS;PETR4;Petróleo, Gás e Biocombustíveis
PETROBRAS;PETR3;Petróleo, Gás e Biocombustíveis
PETROBRAS BR;BRDT3;Petróleo, Gás e Biocombustíveis
QUALICORP;QUAL3;Saúde
RAIADROGASIL;RADL3;Saúde
RUMO S/A;RAIL3;Bens industriais
SABESP;SBSP3;Saneamento
SANTANDER BR;SANB11;Financeiro
SID NACIONAL;CSNA3;Siderurgia e Metalurgia
SMILES;SMLS3;Diversos
SUZANO S/A;SUZB5;Madeira e papel
TAESA;TAEE11;Energia elétrica
TELEF BRASIL;VIVT4;Telecomunicações
TIM PART S/A;TIMP3;Telecomunicações
ULTRAPAR;UGPA3;Petróleo, Gás e Biocombustíveis
USIMINAS;USIM5;Siderurgia e Metalurgia
VALE;VALE3;Mineração
VIA VAREJO;VVAR3;Comércio
WEG;WEGE3;Bens Industriais
